Test_ID,Predicted_Reference_Parameter,Validity_Label
TST-0278,32.200919166666644,Invalid
TST-0006,18.999131499999997,Valid
TST-0047,52.01897762499994,Valid
TST-0311,25.908719916666666,Valid
TST-0264,18.710736791666665,Invalid
TST-0169,20.543479041666682,Valid
TST-0269,18.499993666666654,Valid
TST-0178,15.877693833333344,Invalid
TST-0206,32.903754979166685,Valid
TST-0038,17.9217910625,Valid
TST-0213,14.264042708333328,Invalid
TST-0309,16.270133104166643,Valid
TST-0059,33.57485533333333,Valid
TST-0159,18.610114708333327,Valid
TST-0235,19.950624937499995,Valid
TST-0230,21.18957645833333,Valid
TST-0323,33.94515320833329,Valid
TST-0262,18.830803437499995,Valid
TST-0274,14.490900729166672,Valid
TST-0214,48.57576406249996,Valid
TST-0024,39.57624758333333,Valid
TST-0234,17.32469370833333,Valid
TST-0333,22.177057333333323,Valid
TST-0060,20.18204583333333,Valid
TST-0226,36.06756262500004,Valid
TST-0197,16.44121487500001,Valid
TST-0346,41.19881493750004,Valid
TST-0192,24.683691958333352,Valid
TST-0141,28.382903250000037,Valid
TST-0222,39.20966772916665,Invalid
TST-0232,19.277980874999972,Valid
TST-0085,23.594802,Valid
TST-0237,32.4054654791667,Valid
TST-0001,34.891275500000035,Valid
TST-0069,16.818887083333312,Valid
TST-0272,23.67356804166666,Valid
TST-0343,35.21373054166665,Valid
TST-0320,26.282473708333363,Valid
TST-0008,30.388328458333316,Invalid
TST-0144,22.913587666666658,Valid
TST-0184,21.88104316666668,Valid
TST-0107,49.22637154166664,Valid
TST-0026,42.12887474999995,Valid
TST-0164,41.07146933333336,Valid
TST-0217,34.63919535416672,Valid
TST-0332,30.40290175000004,Invalid
TST-0279,23.454663124999996,Valid
TST-0243,18.589040749999995,Valid
TST-0163,21.2505385625,Valid
TST-0131,29.921386250000015,Valid
TST-0070,16.250669312499987,Valid
TST-0137,19.00997816666666,Valid
TST-0210,28.602538166666683,Valid
TST-0288,20.70548612499999,Valid
TST-0248,19.974115879166675,Valid
TST-0277,22.14500770833333,Valid
TST-0215,21.969708999999995,Valid
TST-0138,16.70237220833332,Valid
TST-0228,17.588153687500007,Valid
TST-0252,49.52507602083333,Valid
TST-0205,29.78502597916663,Valid
TST-0348,22.566497291666646,Valid
TST-0177,22.06936579166665,Valid
TST-0267,38.58704270833333,Valid
TST-0308,22.869824291666657,Valid
TST-0087,40.355565666666664,Invalid
TST-0117,17.033443000000002,Valid
TST-0014,18.24168745833332,Valid
TST-0154,22.676245249999965,Valid
TST-0207,46.76105754166665,Valid
TST-0187,21.7645483125,Valid
TST-0236,20.99115420833333,Valid
TST-0283,38.97225522916666,Invalid
TST-0089,18.173713458333328,Valid
TST-0202,21.22337733333333,Valid
TST-0160,18.05219606250002,Valid
TST-0036,25.872675166666667,Valid
TST-0275,47.34740808333334,Valid
TST-0023,35.21674241666666,Valid
TST-0091,42.12256470833333,Valid
TST-0151,43.60596345833331,Valid
TST-0310,23.72697279166667,Valid
TST-0239,14.922569333333342,Valid
TST-0331,32.353862833333324,Valid
TST-0316,13.505499624999997,Invalid
TST-0338,14.304514395833348,Valid
TST-0019,19.970467125,Valid
TST-0168,13.904329416666664,Invalid
TST-0007,18.51949341666666,Valid
TST-0211,31.887045270833323,Valid
TST-0016,36.44247843750003,Valid
TST-0027,19.47782670833335,Invalid
TST-0031,16.750854062500004,Invalid
TST-0249,30.177626270833397,Valid
TST-0011,16.279605541666662,Valid
TST-0080,22.94659725,Valid
TST-0121,16.50944408333331,Valid
TST-0266,19.63627025000003,Valid
TST-0198,22.237040750000016,Valid
TST-0067,30.92724085416666,Valid
TST-0102,21.76679679166667,Valid
TST-0005,36.94980504166664,Valid
TST-0003,31.289586583333342,Valid
TST-0132,47.668225854166685,Valid
TST-0029,26.471981583333367,Valid
TST-0221,25.69452237499999,Valid
TST-0099,17.31415764583333,Valid
TST-0062,17.271903083333335,Valid
TST-0095,26.812728458333336,Valid
TST-0126,17.21523179166666,Valid
TST-0034,49.824195666666704,Valid
TST-0103,16.102192687499986,Valid
TST-0245,23.525096875000013,Valid
TST-0058,50.14976812500003,Valid
TST-0065,26.082040958333327,Valid
TST-0086,19.525292125000025,Valid
TST-0342,20.515666083333336,Valid
TST-0335,17.556440020833346,Valid
TST-0180,18.499466124999994,Invalid
TST-0294,24.295674874999982,Invalid
TST-0072,20.639208958333317,Valid
TST-0315,47.19837487499997,Valid
TST-0182,46.01771845833328,Valid
TST-0200,21.749396458333322,Valid
TST-0030,17.075019166666667,Valid
TST-0193,17.062886708333323,Valid
TST-0231,21.46967612499998,Valid
TST-0128,25.56729716666669,Valid
TST-0165,28.575092833333333,Valid
TST-0074,13.96379708333335,Valid
TST-0004,33.36820037500002,Valid
TST-0157,23.600938500000016,Valid
TST-0143,26.63640631250005,Valid
TST-0179,42.5605704583333,Valid
TST-0075,27.473363895833305,Valid
TST-0233,24.70980864583334,Valid
TST-0111,26.25909899999998,Valid
TST-0350,21.38632654166666,Valid
TST-0122,17.283859541666658,Valid
TST-0076,22.128966125000005,Valid
TST-0304,25.92407666666669,Valid
TST-0190,29.638857875,Valid
TST-0061,16.842270624999994,Valid
TST-0009,26.623738749999998,Valid
TST-0194,44.03378125000001,Valid
TST-0156,16.86156735416667,Invalid
TST-0088,32.85416699999997,Valid
TST-0256,46.246206041666674,Valid
TST-0329,16.42348131250002,Valid
TST-0219,42.681253479166664,Valid
TST-0306,13.95554650000001,Valid
TST-0324,23.787351583333333,Valid
